province_id,legacy_id,numeric_id,name,region_id,macroregion_id,area_km2,profile_id,target_cell_area_km2,expected_cell_count_base,override_minimum_cell_count,override_forced_cell_count,override_reason,final_cell_count_base,status
province:1028,liberia__grand_gedeh,1028,Grand Gedeh,,,11016.337,,,,,,,,UNASSIGNED_REGION
province:329,malawi__mzimba,329,Mzimba,,,10998.088,,,,,,,,UNASSIGNED_REGION
province:1578,benin__donga,1578,Donga,,,10974.023,,,,,,,,UNASSIGNED_REGION
province:182,vietnam__kon_tum,182,Kon Tum,,,10949.483,,,,,,,,UNASSIGNED_REGION
province:3242,new_zealand__marlborough_district,3242,Marlborough District,,,10948.506,,,,,,,,UNASSIGNED_REGION
province:2069,colombia__sucre,2069,Sucre,,,10904.96,,,,,,,,UNASSIGNED_REGION
province:1528,namibia__ohangwena,1528,Ohangwena,,,10894.097,,,,,,,,UNASSIGNED_REGION
province:3572,colombia__caldas,3572,Caldas,,,10889.461,,,,,,,,UNASSIGNED_REGION
province:3341,thailand__udon_thani,3341,Udon Thani,,,10858.956,,,,,,,,UNASSIGNED_REGION
province:1733,uruguay__rocha,1733,Rocha,,,10856.867,,,,,,,,UNASSIGNED_REGION
province:687,bosnia_and_herzegovina__doboj,687,Doboj,,,10817.618,,,,,,,,UNASSIGNED_REGION
province:538,indonesia__nusa_tenggara_timur_2,538,Nusa Tenggara Timur,,,10805.683,,,,,,,,UNASSIGNED_REGION
province:1038,guinea__boke,1038,Boke,,,10795.913,,,,,,,,UNASSIGNED_REGION
province:1730,nepal__bheri,1730,Bheri,,,10795.708,,,,,,,,UNASSIGNED_REGION
province:2083,venezuela__sucre_2,2083,Sucre,,,10789.866,,,,,,,,UNASSIGNED_REGION
province:3551,egypt__al_fayyum,3551,Al Fayyum,,,10750.555,,,,,,,,UNASSIGNED_REGION
province:1057,india__tripura,1057,Tripura,,,10736.594,,,,,,,,UNASSIGNED_REGION
province:1750,spain__zamora,1750,Zamora,region:iberia:leon,macroregion:iberia,10678.322,P4,3000,4,,,,4,OK
province:3328,thailand__khon_kaen,3328,Khon Kaen,,,10674.025,,,,,,,,UNASSIGNED_REGION
province:3502,japan__gifu,3502,Gifu,,,10662.528,,,,,,,,UNASSIGNED_REGION
province:847,nepal__sagarmatha,847,Sagarmatha,,,10650.0,,,,,,,,UNASSIGNED_REGION
province:2850,spain__asturias,2850,Asturias,region:iberia:asturias,macroregion:iberia,10639.358,P3,1800,6,,,,6,OK
province:384,austria__tirol,384,Tirol,,,10630.186,,,,,,,,UNASSIGNED_REGION
province:1729,nepal__rapti,1729,Rapti,,,10610.266,,,,,,,,UNASSIGNED_REGION
province:43,malawi__nkhata_bay,43,Nkhata Bay,,,10607.869,,,,,,,,UNASSIGNED_REGION
province:2491,canada__nova_scotia_4,2491,Nova Scotia,,,10585.25,,,,,,,,UNASSIGNED_REGION
province:2080,venezuela__miranda,2080,Miranda,,,10577.898,,,,,,,,UNASSIGNED_REGION
province:52,south_korea__gyeonggi,52,Gyeonggi,,,10531.35,,,,,,,,UNASSIGNED_REGION
province:1778,iraq__at_ta_mim,1778,At-Ta'mim,,,10508.427,,,,,,,,UNASSIGNED_REGION
province:3107,united_states_of_america__hawaii,3107,Hawaii,,,10501.051,,,,,,,,UNASSIGNED_REGION
province:774,turkey__kars,774,Kars,,,10492.26,,,,,,,,UNASSIGNED_REGION
province:879,thailand__phitsanulok,879,Phitsanulok,,,10489.395,,,,,,,,UNASSIGNED_REGION
province:2003,panama__veraguas_2,2003,Veraguas,,,10481.654,,,,,,,,UNASSIGNED_REGION
province:2832,spain__valencia,2832,Valencia,region:iberia:valencia,macroregion:iberia,10415.304,P2,1450,7,,,,7,OK
province:3285,uruguay__florida,3285,Florida,,,10413.295,,,,,,,,UNASSIGNED_REGION
province:1516,mauritania__guidimaka,1516,Guidimaka,,,10406.207,,,,,,,,UNASSIGNED_REGION
province:880,thailand__loei,880,Loei,,,10396.85,,,,,,,,UNASSIGNED_REGION
province:2208,yemen__ta_izz,2208,Ta`izz,,,10339.17,,,,,,,,UNASSIGNED_REGION
province:2177,philippines__isabela,2177,Isabela,,,10338.605,,,,,,,,UNASSIGNED_REGION
province:448,guinea__mali,448,Mali,,,10322.272,,,,,,,,UNASSIGNED_REGION
province:2548,south_korea__south_jeolla_4,2548,South Jeolla,,,10270.892,,,,,,,,UNASSIGNED_REGION
province:1250,ecuador__zamora_chinchipe,1250,Zamora Chinchipe,,,10259.32,,,,,,,,UNASSIGNED_REGION
province:3387,spain__soria,3387,Soria,region:iberia:old_castile,macroregion:iberia,10233.214,P4,2800,4,,,,4,OK
province:1757,portugal__beja,1757,Beja,region:iberia:alentejo,macroregion:iberia,10223.557,P4,4000,3,,,,3,OK
province:512,malaysia__kedah,512,Kedah,,,10221.313,,,,,,,,UNASSIGNED_REGION
province:1436,jordan__amman,1436,Amman,,,10208.576,,,,,,,,UNASSIGNED_REGION
province:1364,venezuela__t_chira,1364,Táchira,,,10194.113,,,,,,,,UNASSIGNED_REGION
province:3660,afghanistan__wardak,3660,Wardak,,,10155.97,,,,,,,,UNASSIGNED_REGION
province:487,thailand__buri_ram,487,Buri Ram,,,10153.335,,,,,,,,UNASSIGNED_REGION
province:564,rwanda__eastern,564,Eastern,,,10151.676,,,,,,,,UNASSIGNED_REGION
province:2854,france__gironde,2854,Gironde,,,10143.806,,,,,,,,UNASSIGNED_REGION
province:3286,uruguay__lavalleja,3286,Lavalleja,,,10116.747,,,,,,,,UNASSIGNED_REGION
province:821,turkey__mardin,821,Mardin,,,10096.697,,,,,,,,UNASSIGNED_REGION
province:3464,philippines__bukidnon,3464,Bukidnon,,,10044.53,,,,,,,,UNASSIGNED_REGION
province:580,spain__navarra,580,Navarra,region:iberia:navarre,macroregion:iberia,10035.327,P3,1900,5,,,,5,OK
province:3374,suriname__para,3374,Para,,,10026.27,,,,,,,,UNASSIGNED_REGION
